STFR, id, ci, mf, mt, cp, mr, cp, s1, s2, sf, st, cp, sr, cp, stfr
0,'H015RID_B001','H015RID_B001',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H015RID_B009','H015RID_B009',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H015RID_B097','H015RID_B097',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H015RID_B059','H015RID_B059',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H015RID_B058','H015RID_B058',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H015RID_B061','H015RID_B061',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H015RID_B017','H015RID_B017',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H015RID_B018','H015RID_B018',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H015RID_B068','H015RID_B068',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H015RID_B075','H015RID_B075',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H015RID_B074','H015RID_B074',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H015RID_B071','H015RID_B071',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H015RID_B060','H015RID_B060',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H016RID_B002','H016RID_B002',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H016RID_B017','H016RID_B017',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H016RID_B046','H016RID_B046',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H016RID_B035','H016RID_B035',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H016RID_B024','H016RID_B024',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H016RID_B027','H016RID_B027',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H016RID_B028','H016RID_B028',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H016RID_B029','H016RID_B029',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H016RID_B032','H016RID_B032',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H016RID_B020','H016RID_B020',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H016RID_B018','H016RID_B018',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H016RID_B034','H016RID_B034',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H016RID_B037','H016RID_B037',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'1210RID_B003','1210RID_B003',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'1210RID_B007','1210RID_B007',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'1210RID_B014','1210RID_B014',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'1210RID_B021','1210RID_B021',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'1210RID_B024','1210RID_B024',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'1210RID_B025','1210RID_B025',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'1210RID_B026','1210RID_B026',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H034RID_B029','H034RID_B029',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H034RID_B030','H034RID_B030',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H034RID_B031','H034RID_B031',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H034RID_B032','H034RID_B032',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H034RID_B038','H034RID_B038',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H034RID_B040','H034RID_B040',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H034RID_B041','H034RID_B041',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H034RID_B044','H034RID_B044',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H034RID_B045','H034RID_B045',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H034RID_B046','H034RID_B046',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H034RID_B053','H034RID_B053',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H034RID_B062','H034RID_B062',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H034RID_B065','H034RID_B065',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H034RID_B069','H034RID_B069',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H034RID_B074','H034RID_B074',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H034RID_B079','H034RID_B079',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H034RID_B084','H034RID_B084',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H035RID_B090','H035RID_B090',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H035RID_B092','H035RID_B092',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H035RID_B099','H035RID_B099',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H035RID_B103','H035RID_B103',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H035RID_B112','H035RID_B112',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H035RID_B117','H035RID_B117',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H035RID_B124','H035RID_B124',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H017RID_B007','H017RID_B007',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H017RID_B009','H017RID_B009',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H017RID_B014','H017RID_B014',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H017RID_B015','H017RID_B015',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H036RID_B005','H036RID_B005',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H036RID_B006','H036RID_B006',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H036RID_B020','H036RID_B020',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H036RID_B021','H036RID_B021',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H036RID_B022','H036RID_B022',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H036RID_B026','H036RID_B026',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H036RID_B038','H036RID_B038',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H036RID_B045','H036RID_B045',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H036RID_B046','H036RID_B046',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H036RID_B047','H036RID_B047',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H036RID_B048','H036RID_B048',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'H036RID_B068','H036RID_B068',1,0,0 0.015 0,0,0 0.015 0,6,6,1,0,0 0.015 0,0,0 0.015,0
0,'l_272','l_272',1,0,0 0.035 0,0,0 0.035 0,6,6,1,0,0 0.035 0,0,0 0.035,0
0,'l_1152','l_1152',1,0,0 0.035 0,0,0 0.035 0,6,6,1,0,0 0.035 0,0,0 0.035,0
0,'l_1155','l_1155',1,0,0 0.035 0,0,0 0.035 0,6,6,1,0,0 0.035 0,0,0 0.035,0
0,'l_1165','l_1165',1,0,0 0.035 0,0,0 0.035 0,6,6,1,0,0 0.035 0,0,0 0.035,0
0,'l_1179','l_1179',1,0,0 0.035 0,0,0 0.035 0,6,6,1,0,0 0.035 0,0,0 0.035,0
0,'l_1197','l_1197',1,0,0 0.035 0,0,0 0.035 0,6,6,1,0,0 0.035 0,0,0 0.035,0
0,'l_1215','l_1215',1,0,0 0.035 0,0,0 0.035 0,6,6,1,0,0 0.035 0,0,0 0.035,0
0,'l_1224','l_1224',1,0,0 0.035 0,0,0 0.035 0,6,6,1,0,0 0.035 0,0,0 0.035,0
0,'l_1443','l_1443',1,0,0 0.035 0,0,0 0.035 0,6,6,1,0,0 0.035 0,0,0 0.035,0
0,'l_1461','l_1461',1,0,0 0.035 0,0,0 0.035 0,6,6,1,0,0 0.035 0,0,0 0.035,0
0,'l_1481','l_1481',1,0,0 0.035 0,0,0 0.035 0,6,6,1,0,0 0.035 0,0,0 0.035,0
0,'l_1498','l_1498',1,0,0 0.035 0,0,0 0.035 0,6,6,1,0,0 0.035 0,0,0 0.035,0
0,'l_1516','l_1516',1,0,0 0.035 0,0,0 0.035 0,6,6,1,0,0 0.035 0,0,0 0.035,0
0,'l_1539','l_1539',1,0,0 0.035 0,0,0 0.035 0,6,6,1,0,0 0.035 0,0,0 0.035,0
0,'l_1547','l_1547',1,0,0 0.035 0,0,0 0.035 0,6,6,1,0,0 0.035 0,0,0 0.035,0
0,'l_1570','l_1570',1,0,0 0.035 0,0,0 0.035 0,6,6,1,0,0 0.035 0,0,0 0.035,0
0,'l_1588','l_1588',1,0,0 0.035 0,0,0 0.035 0,6,6,1,0,0 0.035 0,0,0 0.035,0
0,'l_1601','l_1601',1,0,0 0.035 0,0,0 0.035 0,6,6,1,0,0 0.035 0,0,0 0.035,0
0,'l_4332','l_4332',1,0,0 0.035 0,0,0 0.035 0,6,6,1,0,0 0.035 0,0,0 0.035,0
0,'l_1906','l_1906',1,0,0 0.035 0,0,0 0.035 0,6,6,1,0,0 0.035 0,0,0 0.035,0
0,'l_1921','l_1921',1,0,0 0.035 0,0,0 0.035 0,6,6,1,0,0 0.035 0,0,0 0.035,0
0,'l_1933','l_1933',1,0,0 0.035 0,0,0 0.035 0,6,6,1,0,0 0.035 0,0,0 0.035,0
0,'l_1937','l_1937',1,0,0 0.035 0,0,0 0.035 0,6,6,1,0,0 0.035 0,0,0 0.035,0
0,'l_1942','l_1942',1,0,0 0.035 0,0,0 0.035 0,6,6,1,0,0 0.035 0,0,0 0.035,0
0,'l_1957','l_1957',1,0,0 0.035 0,0,0 0.035 0,6,6,1,0,0 0.035 0,0,0 0.035,0
0,'l_1975','l_1975',1,0,0 0.03
